user_id,Q1,Total Traffic(MB),Downlink Throughput(Kbps),Uplink Throughput(Kbps),Downlink TCP Retransmission Rate(%),Video Streaming Download Throughput(Kbps),Video Streaming xKB Start Delay(ms),Web Page Download Throughput(Kbps),Web Average TCP RTT(ms),Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q2_6,Q2_7,Downlink Throughput(Kbps)_log,Uplink Throughput(Kbps)_log,Downlink TCP Retransmission Rate(%)_log,Video Streaming Download Throughput(Kbps)_log,Video Streaming xKB Start Delay(ms)_log,Web Page Download Throughput(Kbps)_log,Web Average TCP RTT(ms)_log
13,1,828.47641,2171.1100000001,46.1600000001,8.4900000001,2483.7900000001,2504.0000000001,1923.6000000001,112.0000000001,0,0,0,0,0,0,0,7.682993836489743,3.8321136222020105,2.1388890003350345,7.81754089841681,7.825644732220029,7.56195370940356,4.718498871295988
14,10,228.44956,3004.1800000001,138.20000000009998,5.2600000001,9844.2300000001,1280.0000000001,1662.5400000001,114.0000000001,0,0,0,0,0,0,0,8.007759931195446,4.928701911334293,1.6601310267686298,9.194640775723993,7.154615356913741,7.416101832391004,4.736198448395372
15,8,485.87565,1700.8600000001,155.76000000009998,1.0100000001,2438.2000000001,4512.0000000001,2612.7300000001,104.0000000001,0,0,1,1,0,0,0,7.438889284481968,5.048316361064586,0.009950330952178002,7.799015341131087,8.414495793177917,7.868150930675475,4.644390899142334
16,10,767.54725,1729.3700000001,107.9400000001,1.9600000001,2490.9300000001,1660.0000000001,2514.0800000001,92.0000000001,0,0,0,0,0,0,0,7.455512459319143,4.6815755171914235,0.6729444732934463,7.820411413703185,7.414572881350649,7.829662210441861,4.521788577050128
17,3,401.82326,151.41000000009998,34.700000000100005,2.5500000001,675.8800000001,6550.0000000001,341.8300000001,827.0000000001,0,0,0,0,0,0,0,5.019991389020941,3.5467396869556955,0.9360933592095504,6.516015545492597,8.787220328629314,5.834313537456264,6.717804695023812
18,1,625.42349,1175.9100000001001,16.9100000001,1.6400000001,1367.2300000001,2014.0000000001,307.2400000001,189.0000000001,0,0,0,0,0,0,0,7.069797594917795,2.8279051629164025,0.4946962418970826,7.220542074217242,7.607878073278557,5.7276292011308065,5.241747015060171
19,7,811.55618,460.3200000001,65.2000000001,1.5000000001,1583.2700000001,1340.0000000001,1587.1600000001001,57.0000000001,0,0,1,0,0,0,0,6.131921899803455,4.177459468934141,0.40546510817483106,7.3672476075606195,7.200424892945032,7.369701534600202,4.043051267836304
20,3,256.01052,2195.7500000001,66.8500000001,1.2700000001,8878.6300000001,1678.0000000001,2358.3800000001,94.0000000001,1,1,0,0,0,0,0,7.694278952797272,4.202451303549448,0.23901690054924007,9.091402544804675,7.425357887027211,7.765730221633457,4.543294782271068
21,9,218.73984,8115.3300000001,108.3400000001,2.3700000001,13224.9600000001,704.0000000001,5583.3300000001,52.0000000001,0,0,0,0,0,0,0,9.001510144556269,4.685274430230676,0.862889955189234,9.489861232147264,6.556778356158184,8.627540651570017,3.9512437185833504
22,10,601.06519,2135.9200000001,120.5500000001,1.7300000001,7215.2600000001,1649.0000000001,1014.4800000001001,231.0000000001,0,0,0,0,0,0,0,7.666652746195224,4.79206460462801,0.548121408567491,8.88395350659474,7.407924322559659,6.922131444926743,5.442417710522227
23,8,702.68695,7216.9000000001,212.73000000009998,0.5100000001,9774.8100000001,787.0000000001,3161.5000000001,113.0000000001,0,0,0,0,0,0,0,8.884180776803364,5.360023755984485,-0.6733445530676871,9.187563947324517,6.66822824841753,8.0588018774987,4.727387818713225
24,7,844.863,1167.3600000001,30.560000000099997,0.4800000001,1560.7700000001,4949.0000000001,471.7300000001,147.0000000001,0,0,1,0,1,0,0,7.062500068005943,3.4196919643015917,-0.7339691748718671,7.3529345682118885,8.506940814951907,6.156406788013651,4.990432586779416
25,3,172.401,5474.8400000001,272.1000000001,0.3600000001,23392.0600000001,757.0000000001,2109.3100000001,60.0000000001,1,0,0,0,0,0,0,8.607918330513405,5.606169645789568,-1.0216512472542036,10.0601519275257,6.629363253437581,7.654116158771341,4.0943445622237675
26,10,360.59845,3743.0800000001,250.9300000001,0.9800000001,5943.6600000001,2029.0000000001,2714.2900000001,61.0000000001,0,0,0,0,0,0,0,8.22766408090608,5.525174015774527,-0.020202707215478642,8.69008038422324,7.6152983398258645,7.906285688039423,4.110873864174951
27,4,343.12782,293.9200000001,38.8500000001,7.4000000001,1136.4300000001,3258.0000000001,532.2000000001001,357.0000000001,0,0,0,0,0,0,0,5.683307621467156,3.6597080768162304,2.0014800002236375,7.035647048786896,8.08886878916202,6.277019358543777,5.877735781779919
28,10,373.37642,865.7900000001,82.0300000001,2.6200000001,1913.3300000001,2638.0000000001,1743.4200000001001,122.0000000001,0,0,0,0,0,0,0,6.763642384929744,4.407085034015878,0.9631743178111735,7.556600458483758,7.877776333277298,7.463603980348373,4.8040210447340765
29,10,232.99499,535.0500000001,71.6400000001,1.0700000001,1332.3500000001,3548.0000000001,3421.7200000001,110.0000000001,0,0,0,0,0,0,0,6.282360200473197,4.271653577193907,0.06765864856727281,7.194699579347084,8.174139343429498,8.137898627609411,4.700480365793325
30,9,122.60692,594.2400000001,69.2700000001,7.9000000001,1564.1100000001,1330.0000000001,1937.4800000001,40.0000000001,0,0,0,0,0,0,0,6.387283278164509,4.238011912035957,2.066862759485634,7.355072251112926,7.192934221215875,7.56914343859363,3.6888794541164365
31,1,171.83432,4675.7800000001,474.6100000001,1.1900000001,6174.6700000001,874.0000000001,2133.8800000001,29.0000000001,0,0,0,0,0,0,1,8.45015127272553,6.162493414154949,0.1739533072074716,8.72821071877261,6.77308037565565,7.665697197853277,3.367295829989922
32,10,375.23606,5980.4800000001,119.6300000001,0.4800000001,8723.1000000001,1030.0000000001,6645.5600000001,59.0000000001,0,0,0,0,0,0,0,8.696256111281954,4.784403646183649,-0.7339691748718671,9.07372995831341,6.937314081223779,8.801704241486659,4.077537443907414
33,10,147.20392,871.7400000001,68.9900000001,3.3700000001,4747.2400000001,2215.0000000001,5366.7100000001,79.0000000001,0,0,0,0,0,0,0,6.770491214311417,4.233961566559467,1.214912744393944,8.465318675520628,7.7030076824792815,8.587970336806025,4.369447852468287
34,9,299.76663,2952.7500000001,306.7400000001,0.7200000001,10355.9600000001,1104.0000000001,2984.9000000001,53.0000000001,0,0,0,0,0,0,0,7.99049221849199,5.726000483222959,-0.3285040668331472,9.245317478368806,7.006695226837131,8.00132152442805,3.9702919135540085
35,4,624.87826,9629.0200000001,308.28000000009996,14.8000000001,10669.2500000001,2682.0000000001,759.3300000001001,267.0000000001,1,0,0,1,0,0,0,9.172536734297022,5.731008460910116,2.694627180776826,9.275121051291105,7.894318063841661,6.632436465513886,5.5872486584006245
36,4,168.30615,205.13000000009998,85.3600000001,0.7300000001,17208.510000000097,932.0000000001,3196.8700000001,91.0000000001,1,0,1,0,0,0,0,5.323643924494533,4.446877606994669,-0.31471074470271393,9.753159307886357,6.837332814685698,8.069927485111428,4.510859506517949
37,3,375.34823,948.0200000001,148.29000000009998,1.7100000001,5726.1700000001,864.0000000001,1338.0700000001,161.0000000001,0,0,0,0,0,0,0,6.854375599079002,4.999169815987652,0.536493370573048,8.652802174354633,6.761572768804172,7.198983556210649,5.081404364985084
38,10,103.86321,176.5800000001,68.7400000001,0.9200000001,973.5500000001,1250.0000000001,1500.2600000001,84.0000000001,0,0,0,0,0,0,0,5.173774031474003,4.230331271423142,-0.08338160883035535,6.880949184561733,7.1308988302964265,7.3133937054032145,4.430816798844504
39,1,260.49018,2108.8000000001,163.2200000001,0.9500000001,2764.1000000001,849.0000000001,2393.6700000001,237.0000000001,0,0,0,0,0,0,0,7.653874344308235,5.09509898404171,-0.05129329428228741,7.924470363683208,6.744059186311465,7.78058303200499,5.468060141135553
40,2,518.93045,256.96000000009997,44.950000000100005,1.7000000001,632.0700000001001,2664.0000000001,328.3500000001,877.0000000001,0,0,0,0,0,0,1,5.548920430758786,3.805550760919854,0.5306282511209939,6.449000147507307,7.887584031660317,5.794080112637286,6.776506992372297
41,3,707.36385,996.3800000001,149.29000000009998,19.1700000001,1077.3400000001,3604.0000000001,653.4400000001001,266.0000000001,1,1,1,1,1,0,0,6.904128710926539,5.005890723066169,2.9533465570627695,6.982250319072635,8.189799618728257,6.4822507155363995,5.583496308782075
42,10,240.31367,2212.1500000001,414.52000000009997,0.5900000001,10205.2500000001,1094.0000000001,2407.0100000001003,72.0000000001,0,0,0,0,0,0,0,7.701720172278046,6.027121224316258,-0.5276327419128805,9.230657572739087,6.997595982982018,7.786140592323715,4.276666119017444
43,1,159.86636,266.84000000009996,60.5400000001,2.2200000001,984.1100000001001,4984.0000000001,923.9700000001001,158.0000000001,1,0,0,1,0,0,0,5.586649227841689,4.103304303595224,0.7975071959292332,6.891737679422359,8.513988060467309,6.828679603582243,5.062595033027599
44,10,113.4588,1563.7800000001,120.4500000001,1.2400000001,8607.0300000001,1143.0000000001,2040.5500000001,66.0000000001,0,0,0,0,0,0,0,7.35486124624944,4.791234729061711,0.21511137969759067,9.060334590178442,7.041411663794898,7.620974658343785,4.18965474202794
45,10,513.10897,9252.9000000001,113.7800000001,0.3800000001,13186.3800000001,1071.0000000001,5951.9100000001,54.0000000001,0,0,0,0,0,0,0,9.132692294884903,4.73426675932338,-0.9675840259985476,9.486939757701814,6.976348070447842,8.69146745543088,3.9889840465661264
46,9,689.97218,2807.4000000001,61.7900000001,0.4200000001,6437.7300000001,1294.0000000001,2457.3400000001,60.0000000001,0,0,0,0,0,0,0,7.940014067100261,4.123741539074507,-0.8675005674666278,8.769931272489112,7.165493475060924,7.806834743085952,4.0943445622237675
47,3,189.79118,308.77000000009997,55.0000000001,2.4900000001,1098.1000000001,2357.0000000001,499.65000000009996,412.0000000001,0,0,0,0,0,0,0,5.732596663172486,4.007333185234289,0.912282710516777,7.001336692603759,7.765144902936173,6.213907853307998,6.021023349349769
48,9,356.80265,2371.6500000001,149.91000000009998,0.2900000001,5807.6400000001,1163.0000000001,1792.8600000001,55.0000000001,0,0,0,0,0,0,0,7.7713411944243065,5.01003511402489,-1.2378743556567897,8.66692957111252,7.058758152518751,7.4915673891289005,4.007333185234289
49,10,754.25787,838.4500000001001,641.0300000001,2.4000000001,4484.2200000001,1348.0000000001,594.9800000001001,527.0000000001,0,0,0,0,0,0,0,6.731554949193238,6.463076257697727,0.8754687373955665,8.408319846324813,7.206377291472327,6.388527791535475,6.2672005485415525
50,2,453.12793,3325.8600000001,167.7400000001,0.5900000001,11702.8600000001,1212.0000000001,2455.8200000001,40.0000000001,0,0,1,0,0,0,0,8.109483566263256,5.122415161556861,-0.5276327419128805,9.367588535358625,7.100027166629342,7.806215996678958,3.6888794541164365
51,8,380.04609,3067.4700000001,92.1700000001,0.6800000001000001,4327.6100000001,1921.0000000001,2035.5500000001,101.0000000001,0,0,0,0,0,0,0,8.028608396586176,4.523634698006658,-0.38566248066492576,8.372770705560379,7.5606011627686085,7.618521331630585,4.61512051684225
52,4,656.58089,816.3600000001001,146.45000000009998,1.8000000001,3891.6600000001,1184.0000000001,1487.1300000001002,107.0000000001,0,0,0,0,0,0,0,6.7048554341450926,4.986684073274425,0.5877866649576746,8.266591080805448,7.076653815444035,7.304603366983255,4.672828834462841
53,6,168.11047,2031.2000000001,164.3100000001,0.7100000001,5234.9200000001,1838.0000000001,1665.5600000001,95.0000000001,0,1,1,0,0,0,0,7.616382030390518,5.101754887464348,-0.3424903088059309,8.563106841430487,7.5164333029156865,7.417916682202554,4.553876891601593
54,10,551.75243,4092.2500000001,250.26000000009998,0.6000000001,13052.2400000001,1128.0000000001,1624.4100000001001,149.0000000001,0,0,0,0,0,0,0,8.316850220024488,5.522500377437308,-0.510825623599324,9.476715045530677,7.028201432058093,7.392899951912438,5.00394630594613
55,10,174.99893,1210.1100000001,80.9400000001,1.1000000001,7502.8900000001,1399.0000000001,808.9000000001,94.0000000001,0,0,0,0,0,0,0,7.098466543549797,4.393708139448955,0.09531017989523403,8.923043558635925,7.243512974665553,6.695675300024031,4.543294782271068
56,7,316.85435,208.64000000009997,38.8300000001,3.3600000001,631.3100000001,6492.0000000001,524.9000000001,613.0000000001,1,0,0,1,0,0,0,5.340610278738767,3.659193143746151,1.2119409740048748,6.447797025577761,8.778325928634498,6.263207768258445,6.418364935936375
57,7,384.66811,415.3800000001,119.6900000001,1.9900000001,2863.0400000001,1349.0000000001,1131.3000000001,290.0000000001,0,0,0,0,0,0,1,6.029193763918229,4.784905066886115,0.6881346387866523,7.959639276359266,7.20711885620783,7.0311226929325095,5.669880922980864
58,6,358.35124,1626.4100000001001,297.8000000001,5.3800000001,6519.3500000001,1460.0000000001,1066.5200000001,257.0000000001,1,1,1,1,0,0,0,7.394130410844238,5.6964221202502445,1.6826883741922805,8.782529956699477,7.286191714702451,6.9721562906658106,5.549076084895609
